series_name,count
AION LX,85
AION S,93112
AION V,1700
AION Y,71426
ARIYA 艾睿雅,1252
CLEVER,5584
DS 3 EV,9
DS 7,118
DS 9,154
DS 9 PHEV,22
EVOS,1322
ID.4 CROZZ,10008
ID.4 X,9442
ID.6 CROZZ,4818
ID.6 X,2812
IQ锐歌,1044
MG ONE,3216
MG ZS,123
MG4 EV,3917
MG5,21060
MG6,2045
MG7,6985
Model 3,67432
Model Y,152461
Polo,15436
QQ冰淇淋,19432
RAV4荣放,54191
RAV4荣放PHEV,320
T-ROC探歌,23347
VGV U70Pro,1345
VGV U75PLUS,410
YOUNG光小新,1113
ZEEKR 001,25158
ZEEKR 009,7122
ZEEKR X,349
ZR-V 致在,4766
e:NP1 极湃1,2017
e爱丽舍,408
smart精灵#1,19711
一汽丰田bZ4X,4939
世纪,8469
东南A5翼舞,43
东南DX3,27
东南DX5,369
东南DX7,73
东风本田M-NV,1483
东风风神E70,9198
丰田C-HR,5644
丰田bZ3,5192
五菱Air ev晴空,3073
五菱佳辰,18763
五菱宏光MINIEV,108274
五菱征程,3304
五菱星辰,17362
五菱星驰,15630
五菱缤果,32486
亚洲狮,5387
亚洲龙,33725
享域,5403
伊兰特,43363
传祺E9 PHEV,1669
传祺GS3,20239
传祺GS4,15221
传祺GS8,12474
传祺M6,20546
传祺M8,34287
元PLUS,117531
元Pro,104
元宝,2454
冒险家,12064
冠道,15542
凌宝BOX,4749
凌宝Uni,1487
凌尚,4694
凌放HARRIER,11314
凌派,5990
凌渡,39991
凡尔赛C5 X,10987
凯捷Victory,4066
凯美瑞,78455
凯翼昆仑,3759
凯迪拉克CT4,3461
凯迪拉克CT5,29650
凯迪拉克CT6,4235
凯迪拉克GT4,342
凯迪拉克XT4,10179
凯迪拉克XT5,15851
凯迪拉克XT6,6773
创维EV6,2666
创维HT-i,2790
创酷,3003
别克E5,1031
别克GL8,47980
劲客,2200
北京BJ40,7987
北京BJ60,3291
北京BJ80,206
北京BJ90,3564
北京EU5,17410
北京X3,1758
北京X7,4054
博越,6081
博越L,56875
卡罗拉,76790
卡罗拉锐放,41081
发现运动版,5949
发现运动版PHEV,478
合创007,18
合创A06,754
合创Z03,10875
吉利ICON,7940
吉利几何A,11223
吉利几何C,2238
吉利几何E萤火虫,8577
吉利几何G6,2243
吉利几何M6,1414
君威,18922
君越,10897
启辰D60,2090
启辰D60 EV,8415
启辰T60,1186
启辰T60 EV,934
启辰大V,13530
启辰星,1791
哈弗H6,75869
哈弗H6 PHEV,2662
哈弗H9,2560
哈弗M6,22977
哈弗二代大狗PHEV,11552
哈弗大狗,39767
哈弗枭龙MAX,3088
哈弗神兽,4375
哈弗赤兔,2633
哪吒S,10220
哪吒U,14864
哪吒V,17421
唐DM,53509
唐EV,3599
嘉华,456
嘉际,848
坦克300,36189
坦克500,5782
型格,26600
大众CC,9929
大众ID.3,11846
大家9 EV,960
大通G10,4010
大通G50,4271
大通G90,685
天籁,28069
天逸 C5 AIRCROSS,986
奇骏,2920
奔奔E-Star,5510
奔腾B70,11491
奔腾B70S,525
奔腾E01,1
奔腾M9,100
奔腾NAT,7157
奔腾T55,2276
奔腾T77,2377
奔腾T99,591
奔驰A级,19223
奔驰A级AMG,665
奔驰C级,52517
奔驰C级PHEV,1274
奔驰EQA,1415
奔驰EQB,2324
奔驰EQE,2742
奔驰E级,61244
奔驰E级PHEV,6010
奔驰GLA,10266
奔驰GLB,29576
奔驰GLC,44836
奔驰V级,6194
奕泽IZOA,3516
奕炫,21986
奕跑,3618
奥德赛,14017
奥迪A3,23751
奥迪A4L,41116
奥迪A6L,64272
奥迪A7L,3502
奥迪Q2L,8481
奥迪Q2L e-tron,70
奥迪Q3,20733
奥迪Q3 Sportback,3199
奥迪Q4 e-tron,6631
奥迪Q5 e-tron,1501
奥迪Q5L,48896
奥迪Q5L Sportback,4465
奥迪Q6,1309
奥迪e-tron,170
威兰达,49550
威兰达PHEV,285
威朗,44649
威然,5875
威霆,6597
威飒,12112
宋MAX DM,2359
宋PLUS DM,124066
宋PLUS EV,25419
宋Pro DM,60517
宝来,61862
宝马3系,53338
宝马5系,51614
宝马X1,34686
宝马X3,46142
宝马X5,38530
宝马i3,16290
宝马iX3,17302
宝骏KiWi EV,2550
家宝,220
富康ES600,363
小虎FEV,475
小蚂蚁,8903
小鹏G9,6111
小鹏P5,8878
小鹏P7,14849
小麒麟,499
岚图FREE,4895
岚图梦想家 EV,2430
岚图梦想家 PHEV,5007
岚图追光 EV,730
帕萨特,62014
帕萨特PHEV,4773
帝豪,55666
帝豪EV,7865
广汽丰田bZ4X,3113
广汽本田VE-1,81
库斯途,4137
开拓者,935
影豹,13518
影酷,14355
微蓝6,13330
思域,40508
思皓A5,15176
思皓X8 PLUS,18309
思皓爱跑,1577
思皓花仙子,1971
悦也,729
悦虎,5117
护卫舰07,37974
拿铁PHEV,3696
捷豹XEL,4065
捷豹XFL,4207
捷达VA3,22869
捷达VS5,29091
捷达VS7,11575
捷途X70,33422
捷途X90,8948
捷途大圣,12544
探岳,46740
探岳GTE,2348
探岳X,3091
探影,10981
探界者,5708
探险者,11690
揽境,13177
揽巡,8552
揽胜极光,6080
揽胜极光PHEV,501
摩卡PHEV,1250
斯威G01,4846
斯威G05,5194
斯威X3,4833
无界Pro,574
昂扬,1726
昂科威,38417
昂科旗,5210
明锐,2239
易至EV3,197
星瑞,40819
星越L,49035
星迈罗,2891
星途凌云,2534
星途揽月,2116
星途瑶光,8932
星途追风,1583
星途追风 C-DM,23
智己L7,715
智己LS7,7068
智跑,5845
曹操60,3078
朗逸,124475
本田CR-V,60348
本田CR-V PHEV,3037
本田HR-V,1634
本田LIFE,2952
本田UR-V,14365
本田XR-V,13599
本田e:NS1,2727
极狐 阿尔法S,3974
极狐 阿尔法T,2583
林肯Z,6037
枫叶60s,1701
枫叶80v,1399
柯珞克,1231
柯米克GT,2994
柯迪亚克,1518
标致2008,1878
标致4008,2015
标致4008 PHEV,1
标致408,6535
标致408X,1065
标致5008,1127
标致508L,2742
格瑞维亚,17826
森雅R7,267
楼兰,5926
欧拉好猫,22154
欧拉芭蕾猫,1374
欧拉闪电猫,5331
欧萌达,3538
比亚迪D1,144
比亚迪e2,5015
比亚迪e3,212
汉DM,36763
汉EV,35926
汉兰达,24271
沃尔沃C40 EV,459
沃尔沃S60,8560
沃尔沃S60 PHEV,157
沃尔沃S90,13189
沃尔沃S90 PHEV,1420
沃尔沃XC40,4480
沃尔沃XC40 EV,1546
沃尔沃XC60,21471
沃尔沃XC60 PHEV,2132
海豚,126993
海豹,33958
海马7X,3461
海马7X-E,285
海马8S,3534
海鸥,8427
深蓝S07,3
深蓝SL03,31869
炫界,5435
炫界Pro EV,432
焕驰,507
熊猫,41702
狮铂拓界,2367
现代ix35,20180
理想L7,29307
理想L8,35006
理想L9,34060
瑞虎3x,8131
瑞虎5x,11675
瑞虎7,17838
瑞虎8,36381
瑞风E3,259
瑞风M3,7707
皇冠陆放,18604
皓影,32662
皓影 PHEV,2555
皓极,11155
睿蓝9,563
睿蓝X3 PRO,2777
福特电马,1998
科鲁泽,43053
秦EV,13762
秦PLUS DM,119202
秦PLUS EV,42875
索纳塔,1388
红旗E-HS9,2951
红旗E-QM5,21634
红旗H5,24524
红旗H6,1356
红旗H9,6050
红旗HQ9,4335
红旗HS5,42883
红旗HS7,3473
红旗国耀,93
纳米BOX,10507
绎乐,36
缤智,12288
缤瑞,12305
缤越,35894
羿,1137
胜达,6510
腾势D9 DM,42298
腾势D9 EV,3236
航海家,3997
艾力绅,16175
艾瑞泽5,17011
艾瑞泽8,18393
艾瑞泽e,2305
英仕派,24909
英菲尼迪Q50L,2279
英菲尼迪QX50,575
英菲尼迪QX60,334
荣威Ei5,3177
荣威RX5,20259
荣威RX9,909
荣威eRX5,1409
荣威i5,23932
荣威iMAX8,2565
荣威iMAX8 EV,1249
菱智,10529
菱智M5 EV,1984
菲斯塔,1926
蒙迪欧,16762
蓝山,6186
蓝电E5,1109
蓝鸟,1011
蔚来EC6,1875
蔚来EC7,769
蔚来ES6,5763
蔚来ES7,4500
蔚来ES8,1632
蔚来ET5,26220
蔚来ET7,3095
豪越L,4178
赛图斯,352
赛那,31854
起亚K3,2953
起亚K5,1546
轩度,9474
轩逸,135150
迈腾,57538
迈腾GTE,7497
迈锐宝XL,6500
远志M1,1435
逍客,38348
途安L,403
途岳,35734
途昂,16828
途睿欧,443
途胜,17819
途观L,48408
途观L PHEV,2115
途铠,6282
速派,503
速腾,92140
逸动,63443
逸动EV,3722
逸达,9745
钇为3,348
锋兰达,51163
锐界,5893
锐程CC,40
锐程PLUS,10079
锐际,9013
长安CS35 PLUS,26638
长安CS55 PLUS,47179
长安CS75 PLUS,94171
长安CS85 COUPE,851
长安CS95,1198
长安Lumin,40167
长安UNI-K,6675
长安UNI-K 智电iDD,3721
长安UNI-T,14906
长安UNI-V,47280
长安UNI-V 智电iDD,7352
长安欧尚X5,7863
长安欧尚X5 PLUS,26941
长安欧尚X7 PLUS,15525
长安欧尚Z6,28476
长安欧尚Z6 iDD新能源,4502
问界M5,12388
问界M7,5747
阿维塔 11,9002
雅阁,85343
雪佛兰畅巡,2320
零跑C01,5361
零跑C11,18559
零跑T03,7373
雷凌,55766
领克01,4998
领克01 EM-P,722
领克03,23043
领克05,1665
领克05 EM-P,245
领克06,24764
领克06 EM-P,919
领克09,2196
领克09 EM-P,3076
领界,812
领睿,9785
领裕,2654
风光330,1322
风光500,2502
风光580,3241
风光MINIEV,1810
风光S560,2289
风光ix5,70
风行S50 EV,1345
风行T5,2429
风行T5 EVO,3299
风行游艇,2015
飞凡F7,3550
飞凡R7,1350
飞度,27180
飞行家,2042
马自达3 昂克赛拉,10437
马自达CX-30,1867
马自达CX-5,4517
马自达CX-50行也,503
驱逐舰05,28725
骏行,5850
骐达TIIDA,4990
高合HiPhi X,366
高合HiPhi Z,1410
高尔夫,21337
魔方,2215
